800 3184 
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 8 1
1 9 1
1 10 1
1 15 1
1 17 1
1 18 1
1 20 1
1 21 1
1 24 1
1 25 1
1 33 1
1 36 1
1 39 1
1 41 1
1 52 1
1 53 1
1 62 1
1 89 1
1 104 1
1 130 1
1 141 1
1 142 1
1 146 1
1 150 1
1 154 1
1 155 1
1 166 1
1 169 1
1 174 1
1 177 1
1 181 1
1 194 1
1 218 1
1 223 1
1 236 1
1 241 1
1 275 1
1 282 1
1 314 1
1 317 1
1 320 1
1 321 1
1 345 1
1 354 1
1 357 1
1 358 1
1 390 1
1 394 1
1 401 1
1 481 1
1 503 1
1 512 1
1 571 1
1 643 1
1 650 1
1 678 1
1 685 1
1 795 1
1 799 1
2 6 1
2 7 1
2 8 1
2 10 1
2 11 1
2 12 1
2 13 1
2 15 1
2 16 1
2 18 1
2 22 1
2 23 1
2 24 1
2 28 1
2 32 1
2 34 1
2 37 1
2 40 1
2 43 1
2 51 1
2 55 1
2 60 1
2 67 1
2 69 1
2 74 1
2 82 1
2 84 1
2 88 1
2 95 1
2 107 1
2 113 1
2 129 1
2 133 1
2 134 1
2 150 1
2 152 1
2 154 1
2 160 1
2 161 1
2 169 1
2 170 1
2 175 1
2 182 1
2 183 1
2 193 1
2 208 1
2 212 1
2 216 1
2 218 1
2 221 1
2 237 1
2 247 1
2 255 1
2 288 1
2 297 1
2 303 1
2 310 1
2 311 1
2 349 1
2 371 1
2 375 1
2 377 1
2 381 1
2 385 1
2 387 1
2 399 1
2 408 1
2 409 1
2 417 1
2 431 1
2 470 1
2 472 1
2 492 1
2 497 1
2 498 1
2 502 1
2 525 1
2 541 1
2 554 1
2 558 1
2 591 1
2 598 1
2 609 1
2 635 1
2 658 1
2 669 1
2 676 1
2 700 1
2 733 1
3 6 1
3 7 1
3 14 1
3 176 1
3 248 1
3 250 1
3 304 1
3 398 1
3 423 1
3 620 1
3 645 1
4 13 1
4 50 1
4 184 1
4 450 1
4 555 1
4 592 1
5 6 1
5 7 1
5 9 1
5 11 1
5 13 1
5 14 1
5 16 1
5 19 1
5 26 1
5 32 1
5 38 1
5 41 1
5 46 1
5 51 1
5 59 1
5 68 1
5 75 1
5 80 1
5 97 1
5 100 1
5 109 1
5 122 1
5 125 1
5 136 1
5 147 1
5 164 1
5 206 1
5 209 1
5 230 1
5 235 1
5 243 1
5 248 1
5 252 1
5 257 1
5 262 1
5 269 1
5 272 1
5 287 1
5 288 1
5 292 1
5 299 1
5 312 1
5 315 1
5 316 1
5 321 1
5 342 1
5 348 1
5 402 1
5 403 1
5 426 1
5 434 1
5 456 1
5 472 1
5 487 1
5 491 1
5 492 1
5 498 1
5 516 1
5 602 1
5 611 1
5 633 1
5 641 1
5 643 1
5 670 1
5 674 1
5 689 1
5 701 1
5 702 1
5 703 1
5 717 1
5 741 1
5 744 1
5 763 1
5 766 1
5 771 1
5 776 1
5 777 1
6 7 1
6 8 1
6 9 1
6 10 1
6 11 1
6 12 1
6 20 1
6 21 1
6 25 1
6 26 1
6 27 1
6 28 1
6 30 1
6 31 1
6 33 1
6 39 1
6 50 1
6 64 1
6 66 1
6 70 1
6 72 1
6 74 1
6 81 1
6 87 1
6 94 1
6 108 1
6 116 1
6 117 1
6 121 1
6 123 1
6 125 1
6 127 1
6 128 1
6 131 1
6 138 1
6 147 1
6 153 1
6 156 1
6 158 1
6 165 1
6 176 1
6 200 1
6 201 1
6 214 1
6 219 1
6 228 1
6 242 1
6 256 1
6 265 1
6 284 1
6 287 1
6 289 1
6 291 1
6 295 1
6 308 1
6 341 1
6 353 1
6 361 1
6 367 1
6 387 1
6 411 1
6 417 1
6 418 1
6 428 1
6 435 1
6 475 1
6 477 1
6 492 1
6 496 1
6 508 1
6 517 1
6 518 1
6 519 1
6 524 1
6 545 1
6 572 1
6 573 1
6 604 1
6 628 1
6 655 1
6 674 1
6 682 1
6 686 1
6 707 1
6 726 1
6 760 1
6 775 1
6 790 1
6 793 1
6 797 1
7 8 1
7 9 1
7 12 1
7 14 1
7 17 1
7 21 1
7 23 1
7 25 1
7 27 1
7 33 1
7 37 1
7 42 1
7 46 1
7 47 1
7 48 1
7 51 1
7 56 1
7 58 1
7 76 1
7 80 1
7 81 1
7 85 1
7 88 1
7 96 1
7 101 1
7 117 1
7 126 1
7 139 1
7 144 1
7 146 1
7 151 1
7 159 1
7 194 1
7 231 1
7 232 1
7 235 1
7 255 1
7 270 1
7 271 1
7 285 1
7 295 1
7 330 1
7 353 1
7 366 1
7 373 1
7 376 1
7 380 1
7 398 1
7 426 1
7 482 1
7 516 1
7 546 1
7 553 1
7 574 1
7 624 1
7 637 1
7 648 1
7 650 1
7 661 1
7 670 1
7 711 1
7 745 1
7 783 1
8 11 1
8 28 1
8 48 1
8 50 1
8 58 1
8 65 1
8 70 1
8 78 1
8 112 1
8 148 1
8 155 1
8 209 1
8 212 1
8 219 1
8 230 1
8 269 1
8 287 1
8 296 1
8 303 1
8 391 1
8 503 1
8 565 1
8 575 1
8 589 1
8 591 1
8 673 1
8 738 1
9 10 1
9 15 1
9 18 1
9 19 1
9 20 1
9 21 1
9 23 1
9 34 1
9 36 1
9 38 1
9 44 1
9 57 1
9 65 1
9 72 1
9 90 1
9 95 1
9 97 1
9 107 1
9 114 1
9 118 1
9 121 1
9 123 1
9 129 1
9 154 1
9 160 1
9 211 1
9 215 1
9 232 1
9 264 1
9 323 1
9 337 1
9 342 1
9 345 1
9 351 1
9 367 1
9 372 1
9 390 1
9 408 1
9 412 1
9 416 1
9 420 1
9 421 1
9 429 1
9 439 1
9 445 1
9 485 1
9 493 1
9 556 1
9 562 1
9 580 1
9 613 1
9 615 1
9 623 1
9 649 1
9 652 1
9 654 1
9 691 1
9 731 1
10 34 1
10 37 1
10 40 1
10 43 1
10 44 1
10 46 1
10 49 1
10 54 1
10 61 1
10 64 1
10 66 1
10 72 1
10 83 1
10 86 1
10 104 1
10 105 1
10 106 1
10 107 1
10 111 1
10 186 1
10 213 1
10 277 1
10 318 1
10 331 1
10 348 1
10 575 1
10 603 1
10 623 1
10 627 1
10 630 1
10 666 1
10 754 1
10 775 1
11 12 1
11 13 1
11 14 1
11 16 1
11 17 1
11 24 1
11 29 1
11 42 1
11 55 1
11 65 1
11 119 1
11 124 1
11 133 1
11 205 1
11 236 1
11 272 1
11 275 1
11 278 1
11 283 1
11 293 1
11 319 1
11 428 1
11 483 1
11 562 1
11 647 1
11 673 1
11 682 1
11 782 1
11 789 1
12 15 1
12 17 1
12 20 1
12 22 1
12 30 1
12 32 1
12 35 1
12 38 1
12 77 1
12 79 1
12 80 1
12 89 1
12 98 1
12 110 1
12 151 1
12 152 1
12 170 1
12 175 1
12 180 1
12 181 1
12 258 1
12 261 1
12 262 1
12 298 1
12 302 1
12 307 1
12 324 1
12 326 1
12 363 1
12 370 1
12 382 1
12 383 1
12 410 1
12 414 1
12 452 1
12 466 1
12 493 1
12 567 1
12 584 1
12 586 1
12 603 1
12 645 1
12 659 1
12 702 1
12 778 1
13 16 1
13 22 1
13 39 1
13 56 1
13 58 1
13 64 1
13 66 1
13 68 1
13 75 1
13 157 1
13 175 1
13 223 1
13 268 1
13 283 1
13 317 1
13 344 1
13 379 1
13 397 1
13 463 1
13 502 1
13 512 1
13 543 1
13 551 1
13 562 1
13 589 1
13 601 1
13 614 1
13 636 1
13 739 1
13 748 1
13 785 1
13 790 1
13 800 1
14 18 1
14 26 1
14 30 1
14 35 1
14 48 1
14 60 1
14 82 1
14 99 1
14 105 1
14 117 1
14 132 1
14 159 1
14 183 1
14 201 1
14 210 1
14 240 1
14 245 1
14 264 1
14 268 1
14 274 1
14 304 1
14 305 1
14 310 1
14 311 1
14 388 1
14 426 1
14 457 1
14 550 1
14 576 1
14 650 1
14 672 1
14 728 1
14 731 1
15 19 1
15 25 1
15 31 1
15 40 1
15 42 1
15 49 1
15 57 1
15 62 1
15 63 1
15 65 1
15 76 1
15 83 1
15 86 1
15 90 1
15 93 1
15 95 1
15 115 1
15 123 1
15 124 1
15 126 1
15 133 1
15 135 1
15 141 1
15 162 1
15 180 1
15 188 1
15 190 1
15 195 1
15 200 1
15 211 1
15 213 1
15 222 1
15 225 1
15 227 1
15 241 1
15 251 1
15 260 1
15 261 1
15 268 1
15 272 1
15 296 1
15 302 1
15 312 1
15 317 1
15 331 1
15 340 1
15 362 1
15 391 1
15 393 1
15 446 1
15 468 1
15 478 1
15 509 1
15 510 1
15 522 1
15 523 1
15 530 1
15 554 1
15 578 1
15 636 1
15 638 1
15 671 1
15 726 1
15 727 1
15 735 1
15 741 1
16 29 1
16 56 1
16 167 1
16 236 1
16 322 1
17 19 1
17 27 1
17 50 1
17 86 1
17 91 1
17 111 1
17 116 1
17 131 1
17 132 1
17 197 1
17 199 1
17 231 1
17 243 1
17 249 1
17 259 1
17 260 1
17 315 1
17 350 1
17 373 1
17 383 1
17 450 1
17 509 1
17 632 1
17 642 1
17 654 1
17 658 1
17 697 1
17 706 1
17 726 1
17 766 1
18 31 1
18 41 1
18 68 1
18 92 1
18 101 1
18 183 1
18 204 1
18 289 1
18 303 1
18 337 1
18 469 1
18 489 1
18 505 1
18 624 1
18 760 1
18 777 1
19 22 1
19 31 1
19 36 1
19 39 1
19 40 1
19 43 1
19 44 1
19 63 1
19 67 1
19 69 1
19 75 1
19 79 1
19 87 1
19 88 1
19 91 1
19 92 1
19 101 1
19 106 1
19 114 1
19 120 1
19 137 1
19 160 1
19 174 1
19 217 1
19 228 1
19 236 1
19 246 1
19 283 1
19 297 1
19 309 1
19 359 1
19 366 1
19 372 1
19 381 1
19 392 1
19 447 1
19 542 1
19 547 1
19 549 1
19 561 1
19 578 1
19 594 1
19 613 1
19 621 1
19 710 1
19 712 1
19 747 1
19 787 1
20 28 1
20 59 1
20 92 1
20 298 1
20 428 1
21 29 1
21 33 1
21 37 1
21 38 1
21 42 1
21 45 1
21 57 1
21 63 1
21 73 1
21 82 1
21 87 1
21 89 1
21 95 1
21 100 1
21 108 1
21 114 1
21 126 1
21 129 1
21 130 1
21 135 1
21 139 1
21 141 1
21 149 1
21 155 1
21 159 1
21 173 1
21 190 1
21 203 1
21 220 1
21 232 1
21 239 1
21 250 1
21 259 1
21 299 1
21 310 1
21 322 1
21 382 1
21 399 1
21 419 1
21 463 1
21 471 1
21 473 1
21 479 1
21 487 1
21 508 1
21 575 1
21 582 1
21 608 1
21 615 1
21 635 1
21 644 1
21 655 1
21 690 1
21 698 1
21 702 1
21 727 1
21 746 1
21 753 1
21 774 1
22 23 1
22 24 1
22 45 1
22 55 1
22 70 1
22 120 1
22 128 1
22 149 1
22 161 1
22 178 1
22 184 1
22 216 1
22 230 1
22 240 1
22 330 1
22 332 1
22 346 1
22 367 1
22 370 1
22 375 1
22 387 1
22 433 1
22 447 1
22 465 1
22 469 1
22 546 1
22 549 1
22 583 1
22 633 1
23 94 1
23 106 1
23 116 1
23 168 1
23 179 1
23 237 1
23 239 1
23 277 1
23 284 1
23 285 1
23 347 1
23 394 1
23 424 1
23 433 1
23 568 1
23 618 1
23 626 1
23 673 1
23 688 1
23 715 1
23 718 1
23 733 1
23 776 1
24 26 1
24 29 1
24 52 1
24 58 1
24 77 1
24 90 1
24 91 1
24 124 1
24 136 1
24 182 1
24 204 1
24 213 1
24 218 1
24 224 1
24 237 1
24 248 1
24 250 1
24 277 1
24 293 1
24 297 1
24 314 1
24 436 1
24 465 1
24 488 1
24 534 1
24 579 1
24 692 1
24 720 1
24 752 1
24 777 1
25 72 1
25 244 1
25 308 1
25 327 1
25 349 1
25 717 1
26 27 1
26 32 1
26 35 1
26 78 1
26 122 1
26 167 1
26 222 1
26 225 1
26 251 1
26 306 1
26 327 1
26 345 1
26 403 1
26 431 1
26 435 1
26 484 1
26 551 1
26 663 1
26 665 1
26 697 1
26 755 1
26 792 1
27 30 1
27 35 1
27 75 1
27 76 1
27 80 1
27 141 1
27 184 1
27 189 1
27 195 1
27 402 1
27 425 1
27 504 1
27 510 1
27 563 1
27 567 1
27 616 1
27 665 1
27 666 1
27 714 1
28 54 1
28 129 1
28 166 1
28 453 1
28 470 1
28 629 1
28 794 1
29 84 1
29 86 1
29 110 1
29 112 1
29 127 1
29 185 1
29 207 1
29 244 1
29 280 1
29 298 1
29 365 1
29 366 1
29 395 1
29 438 1
30 34 1
30 45 1
30 47 1
30 49 1
30 55 1
30 67 1
30 73 1
30 77 1
30 78 1
30 85 1
30 119 1
30 122 1
30 124 1
30 131 1
30 135 1
30 167 1
30 171 1
30 177 1
30 205 1
30 229 1
30 235 1
30 247 1
30 252 1
30 312 1
30 325 1
30 332 1
30 333 1
30 361 1
30 400 1
30 407 1
30 438 1
30 440 1
30 442 1
30 464 1
30 474 1
30 480 1
30 504 1
30 519 1
30 564 1
30 571 1
30 581 1
30 593 1
30 646 1
30 656 1
30 691 1
30 732 1
31 36 1
31 48 1
31 53 1
31 56 1
31 116 1
31 173 1
31 176 1
31 179 1
31 185 1
31 253 1
31 293 1
31 321 1
31 325 1
31 343 1
31 363 1
31 448 1
31 521 1
31 577 1
31 587 1
31 697 1
31 730 1
31 738 1
31 752 1
31 768 1
32 44 1
32 47 1
32 63 1
32 71 1
32 79 1
32 85 1
32 93 1
32 94 1
32 146 1
32 171 1
32 213 1
32 215 1
32 271 1
32 324 1
32 325 1
32 350 1
32 356 1
32 376 1
32 377 1
32 464 1
32 472 1
32 549 1
32 610 1
32 619 1
32 638 1
32 770 1
33 41 1
33 57 1
33 320 1
33 331 1
33 413 1
33 480 1
33 588 1
33 664 1
33 674 1
34 49 1
34 140 1
34 147 1
34 168 1
34 247 1
34 263 1
34 373 1
34 550 1
34 569 1
34 652 1
34 658 1
34 725 1
34 740 1
34 750 1
35 43 1
35 62 1
35 83 1
35 96 1
35 211 1
35 262 1
35 279 1
35 292 1
35 321 1
35 420 1
35 448 1
35 490 1
35 494 1
35 584 1
35 761 1
36 46 1
36 51 1
36 67 1
36 69 1
36 99 1
36 153 1
36 203 1
36 263 1
36 307 1
36 350 1
36 379 1
36 384 1
36 415 1
36 437 1
36 460 1
36 497 1
36 556 1
36 563 1
36 617 1
36 735 1
37 102 1
37 120 1
37 148 1
37 163 1
37 170 1
37 201 1
37 322 1
37 323 1
37 517 1
37 612 1
37 715 1
37 727 1
37 769 1
37 774 1
38 52 1
38 54 1
38 142 1
38 144 1
38 150 1
38 152 1
38 200 1
38 204 1
38 205 1
38 217 1
38 273 1
38 276 1
38 290 1
38 389 1
38 401 1
38 444 1
38 462 1
38 483 1
38 486 1
38 488 1
38 548 1
38 678 1
38 704 1
39 60 1
39 84 1
39 202 1
39 427 1
39 526 1
39 531 1
39 537 1
40 203 1
40 207 1
40 233 1
41 47 1
41 53 1
41 59 1
41 83 1
41 105 1
41 153 1
41 163 1
41 169 1
41 178 1
41 187 1
41 261 1
41 284 1
41 315 1
41 383 1
41 394 1
41 422 1
41 463 1
41 479 1
41 508 1
41 615 1
41 644 1
41 709 1
41 730 1
41 783 1
42 78 1
42 88 1
42 113 1
42 130 1
42 219 1
42 351 1
42 458 1
42 636 1
43 45 1
43 52 1
43 54 1
43 66 1
43 94 1
43 96 1
43 110 1
43 142 1
43 143 1
43 150 1
43 182 1
43 228 1
43 254 1
43 267 1
43 278 1
43 293 1
43 334 1
43 335 1
43 368 1
43 370 1
43 374 1
43 410 1
43 411 1
43 445 1
43 448 1
43 479 1
43 501 1
43 574 1
43 627 1
43 696 1
43 745 1
43 765 1
43 769 1
43 796 1
44 73 1
44 77 1
44 100 1
44 119 1
44 157 1
44 166 1
44 202 1
44 256 1
44 259 1
44 274 1
44 290 1
44 306 1
44 318 1
44 367 1
44 469 1
44 533 1
44 536 1
44 590 1
44 600 1
45 73 1
45 87 1
45 118 1
45 143 1
