200 3009 
1 8 1
1 9 1
1 13 1
1 14 1
1 36 1
1 51 1
1 56 1
1 61 1
1 63 1
1 67 1
1 68 1
1 72 1
1 81 1
1 97 1
1 100 1
1 102 1
1 104 1
1 106 1
1 107 1
1 121 1
1 122 1
1 138 1
1 144 1
1 147 1
1 152 1
1 154 1
1 164 1
1 167 1
1 170 1
1 171 1
1 182 1
1 199 1
2 13 1
2 18 1
2 26 1
2 27 1
2 28 1
2 30 1
2 43 1
2 64 1
2 90 1
2 91 1
2 97 1
2 98 1
2 105 1
2 108 1
2 112 1
2 131 1
2 135 1
2 142 1
2 151 1
2 155 1
2 160 1
2 167 1
2 173 1
2 196 1
3 13 1
3 21 1
3 31 1
3 34 1
3 39 1
3 44 1
3 45 1
3 56 1
3 60 1
3 62 1
3 68 1
3 73 1
3 83 1
3 85 1
3 86 1
3 88 1
3 100 1
3 110 1
3 120 1
3 125 1
3 128 1
3 137 1
3 145 1
3 153 1
3 157 1
3 167 1
3 169 1
3 184 1
3 186 1
4 7 1
4 8 1
4 10 1
4 18 1
4 19 1
4 20 1
4 35 1
4 37 1
4 41 1
4 42 1
4 74 1
4 77 1
4 84 1
4 86 1
4 96 1
4 101 1
4 105 1
4 106 1
4 107 1
4 111 1
4 114 1
4 122 1
4 129 1
4 133 1
4 134 1
4 137 1
4 139 1
4 142 1
4 157 1
4 159 1
4 162 1
4 163 1
4 167 1
4 180 1
4 187 1
4 188 1
4 190 1
4 197 1
5 7 1
5 10 1
5 12 1
5 15 1
5 20 1
5 26 1
5 35 1
5 37 1
5 40 1
5 57 1
5 59 1
5 73 1
5 76 1
5 83 1
5 88 1
5 90 1
5 91 1
5 98 1
5 99 1
5 106 1
5 112 1
5 113 1
5 118 1
5 126 1
5 129 1
5 130 1
5 144 1
5 184 1
5 190 1
6 7 1
6 11 1
6 39 1
6 51 1
6 56 1
6 59 1
6 64 1
6 76 1
6 78 1
6 79 1
6 84 1
6 85 1
6 91 1
6 104 1
6 110 1
6 131 1
6 140 1
6 145 1
6 158 1
6 170 1
6 178 1
6 182 1
6 195 1
7 27 1
7 38 1
7 39 1
7 43 1
7 57 1
