1900 7583 
1 5 1
1 7 1
1 8 1
1 12 1
1 53 1
1 90 1
1 107 1
1 167 1
1 202 1
1 284 1
1 698 1
1 734 1
1 809 1
1 861 1
1 898 1
1 1041 1
1 1060 1
1 1092 1
1 1126 1
1 1128 1
1 1265 1
1 1279 1
1 1386 1
1 1412 1
1 1478 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 13 1
2 16 1
2 17 1
2 18 1
2 22 1
2 23 1
2 31 1
2 38 1
2 56 1
2 58 1
2 64 1
2 87 1
2 94 1
2 96 1
2 98 1
2 99 1
2 106 1
2 107 1
2 120 1
2 135 1
2 136 1
2 158 1
2 160 1
2 197 1
2 203 1
2 211 1
2 221 1
2 252 1
2 262 1
2 271 1
2 273 1
2 293 1
2 295 1
2 297 1
2 308 1
2 310 1
2 320 1
2 325 1
2 354 1
2 378 1
2 405 1
2 412 1
2 430 1
2 445 1
2 450 1
2 497 1
2 498 1
2 522 1
2 534 1
2 537 1
2 550 1
2 563 1
2 591 1
2 608 1
2 642 1
2 647 1
2 654 1
2 661 1
2 730 1
2 743 1
2 761 1
2 765 1
2 784 1
2 858 1
2 892 1
2 911 1
2 944 1
2 952 1
2 980 1
2 983 1
2 1026 1
2 1033 1
2 1069 1
2 1094 1
2 1116 1
2 1147 1
2 1166 1
2 1192 1
2 1194 1
2 1237 1
2 1244 1
2 1300 1
2 1317 1
2 1327 1
2 1356 1
2 1357 1
2 1369 1
2 1376 1
2 1387 1
2 1388 1
2 1423 1
2 1430 1
2 1506 1
2 1539 1
2 1567 1
2 1602 1
2 1649 1
2 1669 1
2 1694 1
2 1735 1
2 1749 1
2 1756 1
2 1777 1
2 1786 1
2 1799 1
2 1833 1
2 1858 1
2 1863 1
2 1864 1
2 1890 1
3 5 1
3 6 1
3 7 1
3 10 1
3 13 1
3 15 1
3 21 1
3 30 1
3 33 1
3 34 1
3 35 1
3 73 1
3 98 1
3 102 1
3 118 1
3 122 1
3 123 1
3 139 1
3 150 1
3 159 1
3 173 1
3 205 1
3 209 1
3 243 1
3 270 1
3 286 1
3 332 1
3 393 1
3 398 1
3 436 1
3 453 1
3 464 1
3 521 1
3 538 1
3 547 1
3 556 1
3 561 1
3 573 1
3 618 1
3 634 1
3 638 1
3 644 1
3 665 1
3 678 1
3 814 1
3 910 1
3 919 1
3 947 1
3 972 1
3 1176 1
3 1220 1
3 1597 1
3 1708 1
3 1714 1
3 1731 1
3 1796 1
3 1816 1
3 1829 1
3 1831 1
3 1892 1
4 5 1
4 6 1
4 7 1
4 8 1
4 13 1
4 14 1
4 22 1
4 23 1
4 27 1
4 40 1
4 46 1
4 49 1
4 54 1
4 58 1
4 63 1
4 76 1
4 77 1
4 78 1
4 82 1
4 84 1
4 103 1
4 115 1
4 120 1
4 123 1
4 131 1
4 137 1
4 147 1
4 156 1
4 157 1
4 167 1
4 192 1
4 194 1
4 205 1
4 210 1
4 214 1
4 229 1
4 237 1
4 265 1
4 268 1
4 269 1
4 284 1
4 307 1
4 311 1
4 316 1
4 318 1
4 338 1
4 342 1
4 360 1
4 367 1
4 368 1
4 389 1
4 445 1
4 452 1
4 462 1
4 463 1
4 486 1
4 491 1
4 515 1
4 546 1
4 565 1
4 576 1
4 598 1
4 628 1
4 629 1
4 638 1
4 670 1
4 674 1
4 723 1
4 756 1
4 784 1
4 788 1
4 816 1
4 835 1
4 852 1
4 894 1
4 955 1
4 992 1
4 1047 1
4 1051 1
4 1059 1
4 1097 1
4 1138 1
4 1150 1
4 1214 1
4 1299 1
4 1333 1
4 1357 1
4 1445 1
4 1524 1
4 1562 1
4 1607 1
4 1622 1
4 1647 1
4 1674 1
4 1679 1
4 1711 1
4 1738 1
4 1745 1
4 1795 1
4 1830 1
4 1857 1
5 6 1
5 9 1
5 11 1
5 14 1
5 15 1
5 16 1
5 19 1
5 21 1
5 22 1
5 24 1
5 25 1
5 36 1
5 39 1
5 41 1
5 45 1
5 46 1
5 48 1
5 54 1
5 60 1
5 61 1
5 63 1
5 69 1
5 73 1
5 80 1
5 83 1
5 89 1
5 100 1
5 106 1
5 107 1
5 114 1
5 119 1
5 138 1
5 149 1
5 154 1
5 155 1
5 158 1
5 181 1
5 208 1
5 210 1
5 217 1
5 250 1
5 259 1
5 280 1
5 286 1
5 292 1
5 314 1
5 328 1
5 329 1
5 331 1
5 345 1
5 349 1
5 354 1
5 355 1
5 370 1
5 381 1
5 413 1
5 442 1
5 459 1
5 466 1
5 473 1
5 480 1
5 485 1
5 492 1
5 498 1
5 499 1
5 502 1
5 519 1
5 552 1
5 577 1
5 602 1
5 609 1
5 617 1
5 670 1
5 683 1
5 689 1
5 700 1
5 701 1
5 713 1
5 736 1
5 767 1
5 771 1
5 786 1
5 798 1
5 838 1
5 857 1
5 896 1
5 920 1
5 925 1
5 947 1
5 948 1
5 951 1
5 953 1
5 960 1
