600 2382 
1 5 1
1 6 1
1 8 1
1 9 1
1 10 1
1 12 1
1 13 1
1 14 1
1 16 1
1 19 1
1 22 1
1 27 1
1 34 1
1 38 1
1 40 1
1 45 1
1 48 1
1 51 1
1 52 1
1 56 1
1 62 1
1 67 1
1 70 1
1 73 1
1 74 1
1 75 1
1 78 1
1 80 1
1 83 1
1 86 1
1 95 1
1 99 1
1 110 1
1 120 1
1 122 1
1 126 1
1 127 1
1 131 1
1 135 1
1 165 1
1 168 1
1 180 1
1 190 1
1 195 1
1 199 1
1 202 1
1 215 1
1 216 1
1 221 1
1 226 1
1 264 1
1 268 1
1 269 1
1 274 1
1 281 1
1 306 1
1 318 1
1 321 1
1 325 1
1 333 1
1 345 1
1 347 1
1 350 1
1 369 1
1 370 1
1 375 1
1 378 1
1 403 1
1 405 1
1 444 1
1 459 1
1 461 1
1 476 1
1 478 1
1 481 1
1 489 1
1 491 1
1 504 1
1 515 1
1 534 1
1 541 1
1 542 1
1 544 1
1 545 1
1 554 1
1 578 1
1 581 1
2 5 1
2 6 1
2 9 1
2 10 1
2 15 1
2 24 1
2 26 1
2 60 1
2 93 1
2 116 1
2 164 1
2 201 1
2 219 1
2 224 1
2 270 1
2 384 1
2 393 1
2 429 1
2 567 1
3 5 1
3 6 1
3 7 1
3 8 1
3 10 1
3 14 1
3 15 1
3 21 1
3 28 1
3 29 1
3 49 1
3 54 1
3 55 1
3 56 1
3 61 1
3 100 1
3 144 1
3 150 1
3 158 1
3 160 1
3 212 1
3 223 1
3 242 1
3 248 1
3 252 1
3 279 1
3 280 1
3 281 1
3 285 1
3 294 1
3 303 1
3 350 1
3 408 1
3 427 1
3 431 1
3 507 1
3 565 1
3 586 1
3 588 1
4 5 1
4 7 1
4 12 1
4 17 1
4 19 1
4 21 1
4 22 1
4 24 1
4 28 1
4 30 1
4 31 1
4 37 1
4 44 1
4 45 1
4 76 1
4 84 1
4 89 1
4 90 1
4 100 1
4 115 1
4 129 1
4 159 1
4 227 1
4 234 1
4 285 1
4 319 1
4 344 1
4 347 1
4 446 1
4 454 1
4 471 1
4 530 1
4 541 1
4 568 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 15 1
5 17 1
5 18 1
5 19 1
5 21 1
5 22 1
5 23 1
5 29 1
5 32 1
5 36 1
5 37 1
5 38 1
5 40 1
5 41 1
5 43 1
5 44 1
5 45 1
5 48 1
5 54 1
5 57 1
5 60 1
5 62 1
5 64 1
5 69 1
5 70 1
5 72 1
5 76 1
5 82 1
5 83 1
5 89 1
5 91 1
5 95 1
5 97 1
5 102 1
5 103 1
5 104 1
5 106 1
5 109 1
5 112 1
5 116 1
5 122 1
5 123 1
5 124 1
5 127 1
5 132 1
5 136 1
5 143 1
5 149 1
5 158 1
5 159 1
5 163 1
5 171 1
5 173 1
5 182 1
5 187 1
5 188 1
