1000 3984 
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 9 1
1 11 1
1 14 1
1 18 1
1 19 1
1 20 1
1 29 1
1 34 1
1 40 1
1 44 1
1 47 1
1 63 1
1 71 1
1 73 1
1 74 1
1 124 1
1 125 1
1 132 1
1 164 1
1 182 1
1 208 1
1 209 1
1 212 1
1 226 1
1 236 1
1 239 1
1 240 1
1 290 1
1 291 1
1 301 1
1 315 1
1 316 1
1 322 1
1 323 1
1 341 1
1 357 1
1 360 1
1 361 1
1 418 1
1 451 1
1 471 1
1 486 1
1 488 1
1 510 1
1 512 1
1 538 1
1 559 1
1 572 1
1 575 1
1 582 1
1 590 1
1 600 1
1 610 1
1 613 1
1 623 1
1 643 1
1 666 1
1 789 1
1 830 1
1 879 1
1 892 1
1 919 1
1 936 1
1 955 1
1 962 1
1 977 1
2 8 1
2 12 1
2 43 1
2 76 1
2 78 1
2 99 1
2 173 1
2 685 1
3 6 1
3 8 1
3 15 1
3 23 1
3 43 1
3 46 1
3 60 1
3 134 1
3 140 1
3 170 1
3 181 1
3 240 1
3 281 1
3 358 1
3 382 1
3 404 1
3 408 1
3 777 1
3 843 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 13 1
4 15 1
4 16 1
4 21 1
4 27 1
4 28 1
4 31 1
4 45 1
4 56 1
4 61 1
4 68 1
4 75 1
4 85 1
4 87 1
4 96 1
4 100 1
4 105 1
4 119 1
4 125 1
4 149 1
4 157 1
4 167 1
4 194 1
4 206 1
4 234 1
4 238 1
4 242 1
4 255 1
4 257 1
4 267 1
4 338 1
4 341 1
4 349 1
4 363 1
4 366 1
4 373 1
4 401 1
4 468 1
4 471 1
4 490 1
4 586 1
4 602 1
4 652 1
4 663 1
4 671 1
4 699 1
4 739 1
4 753 1
4 774 1
4 789 1
4 791 1
4 806 1
4 829 1
4 891 1
4 904 1
4 982 1
5 6 1
5 7 1
5 9 1
5 11 1
5 12 1
5 18 1
5 21 1
5 22 1
5 25 1
5 28 1
5 30 1
5 33 1
5 34 1
5 42 1
5 57 1
5 59 1
5 89 1
5 90 1
5 115 1
5 120 1
5 131 1
5 140 1
5 146 1
5 150 1
5 153 1
5 156 1
5 157 1
5 165 1
5 194 1
5 202 1
5 211 1
5 235 1
5 241 1
5 255 1
5 256 1
5 275 1
5 286 1
5 290 1
5 294 1
5 325 1
5 329 1
5 349 1
5 350 1
5 392 1
5 425 1
5 482 1
5 500 1
5 502 1
5 507 1
5 556 1
5 561 1
5 564 1
5 571 1
5 584 1
5 622 1
5 634 1
5 646 1
5 649 1
5 699 1
5 714 1
5 719 1
5 728 1
5 759 1
5 770 1
5 781 1
5 789 1
5 796 1
5 797 1
5 815 1
5 827 1
5 833 1
5 836 1
5 897 1
5 914 1
5 933 1
5 953 1
5 964 1
5 986 1
6 7 1
6 9 1
6 10 1
6 12 1
6 14 1
6 15 1
6 32 1
6 62 1
6 73 1
6 86 1
6 91 1
6 96 1
6 105 1
6 115 1
6 149 1
6 162 1
6 223 1
6 244 1
6 279 1
6 305 1
6 372 1
6 386 1
6 430 1
6 434 1
6 531 1
6 552 1
6 555 1
6 582 1
6 602 1
6 615 1
6 632 1
6 659 1
6 681 1
6 756 1
6 785 1
6 806 1
6 978 1
7 8 1
7 10 1
7 13 1
7 16 1
7 23 1
7 24 1
7 25 1
7 27 1
7 33 1
7 36 1
7 37 1
7 44 1
7 45 1
7 46 1
7 47 1
7 50 1
7 57 1
7 62 1
7 64 1
7 66 1
7 76 1
7 79 1
7 85 1
7 92 1
7 97 1
7 99 1
7 107 1
7 110 1
7 111 1
7 114 1
7 118 1
7 119 1
7 134 1
7 137 1
7 143 1
7 145 1
7 150 1
7 158 1
7 162 1
7 183 1
7 193 1
7 209 1
7 259 1
7 263 1
7 264 1
7 324 1
7 346 1
7 381 1
7 383 1
7 397 1
7 400 1
7 416 1
7 422 1
7 448 1
7 453 1
7 462 1
7 465 1
7 508 1
7 536 1
7 540 1
7 544 1
7 548 1
7 562 1
7 620 1
7 634 1
7 635 1
7 658 1
7 660 1
7 694 1
7 708 1
7 722 1
7 731 1
7 746 1
7 748 1
7 752 1
7 768 1
7 800 1
7 859 1
7 929 1
7 986 1
7 1000 1
8 11 1
8 13 1
8 14 1
8 15 1
8 17 1
8 18 1
8 24 1
8 29 1
8 30 1
8 35 1
8 36 1
8 38 1
8 39 1
8 47 1
8 49 1
8 63 1
8 65 1
8 73 1
8 87 1
8 90 1
8 91 1
8 103 1
8 106 1
8 108 1
8 117 1
8 123 1
8 124 1
8 128 1
8 140 1
8 144 1
8 152 1
8 167 1
8 168 1
8 180 1
8 188 1
8 216 1
8 280 1
8 293 1
8 316 1
8 330 1
8 333 1
8 351 1
8 354 1
8 362 1
8 376 1
8 384 1
8 396 1
8 402 1
8 436 1
8 463 1
8 493 1
8 497 1
8 532 1
8 560 1
8 563 1
8 565 1
8 569 1
8 587 1
8 589 1
8 624 1
8 661 1
8 689 1
8 694 1
8 711 1
8 759 1
8 765 1
8 848 1
8 888 1
8 922 1
8 972 1
9 10 1
9 17 1
9 38 1
9 42 1
9 55 1
9 67 1
9 76 1
9 81 1
9 88 1
9 102 1
9 121 1
9 154 1
9 209 1
9 241 1
9 247 1
9 263 1
9 282 1
9 300 1
9 389 1
9 391 1
9 548 1
9 567 1
9 604 1
9 606 1
9 627 1
9 628 1
9 630 1
9 640 1
9 652 1
9 679 1
9 681 1
9 712 1
9 823 1
9 879 1
9 959 1
9 987 1
10 13 1
10 14 1
10 16 1
10 20 1
10 26 1
10 31 1
10 45 1
10 48 1
10 52 1
10 59 1
10 61 1
10 82 1
10 88 1
10 89 1
10 96 1
10 104 1
10 106 1
10 112 1
10 118 1
10 126 1
10 132 1
10 143 1
10 145 1
10 146 1
10 151 1
10 161 1
10 163 1
10 182 1
10 190 1
10 200 1
10 219 1
10 228 1
10 234 1
10 273 1
10 281 1
10 283 1
10 292 1
10 310 1
10 327 1
10 399 1
10 410 1
10 421 1
10 443 1
10 473 1
10 487 1
10 518 1
10 526 1
10 529 1
10 531 1
10 573 1
10 589 1
10 611 1
10 654 1
10 677 1
10 727 1
10 731 1
10 776 1
10 782 1
10 784 1
10 785 1
10 792 1
10 799 1
10 864 1
10 897 1
10 968 1
10 997 1
11 12 1
11 22 1
11 43 1
11 77 1
11 85 1
11 86 1
11 100 1
11 101 1
11 106 1
11 109 1
11 125 1
11 126 1
11 132 1
11 169 1
11 176 1
11 199 1
11 215 1
11 224 1
11 250 1
11 259 1
11 283 1
11 288 1
11 295 1
11 302 1
11 331 1
11 338 1
11 458 1
11 472 1
11 513 1
11 519 1
11 610 1
11 723 1
11 829 1
11 841 1
11 896 1
11 900 1
11 977 1
11 996 1
11 999 1
12 20 1
12 21 1
12 22 1
12 24 1
12 26 1
12 32 1
12 35 1
12 38 1
12 40 1
12 42 1
12 62 1
12 70 1
12 79 1
12 81 1
12 97 1
12 118 1
12 128 1
12 136 1
12 144 1
12 160 1
12 162 1
12 166 1
12 193 1
12 207 1
12 210 1
12 215 1
12 233 1
12 246 1
12 255 1
12 266 1
12 273 1
12 300 1
12 308 1
12 326 1
12 334 1
12 342 1
12 372 1
12 378 1
12 381 1
12 384 1
12 387 1
12 414 1
12 442 1
12 463 1
12 464 1
12 473 1
12 480 1
12 503 1
12 521 1
12 547 1
12 574 1
12 584 1
12 613 1
12 621 1
12 656 1
12 662 1
12 670 1
12 687 1
12 745 1
12 750 1
12 751 1
12 758 1
12 763 1
12 778 1
12 806 1
12 845 1
12 853 1
12 890 1
12 909 1
12 918 1
12 934 1
12 946 1
12 969 1
12 988 1
13 17 1
13 21 1
13 31 1
13 53 1
13 54 1
13 56 1
13 63 1
13 90 1
13 107 1
13 116 1
13 136 1
13 193 1
13 202 1
13 222 1
13 229 1
13 270 1
13 298 1
13 299 1
13 307 1
13 390 1
13 401 1
13 447 1
13 480 1
13 488 1
13 560 1
13 581 1
13 645 1
13 705 1
13 766 1
13 800 1
13 828 1
13 878 1
14 20 1
14 22 1
14 26 1
14 27 1
14 28 1
14 29 1
14 32 1
14 33 1
14 44 1
14 45 1
14 54 1
14 58 1
14 61 1
14 65 1
14 67 1
14 87 1
14 88 1
14 135 1
14 192 1
14 242 1
14 284 1
14 297 1
14 314 1
14 318 1
14 326 1
14 352 1
14 381 1
14 402 1
14 411 1
14 415 1
14 435 1
14 464 1
14 473 1
14 492 1
14 595 1
14 605 1
14 610 1
14 617 1
14 619 1
14 621 1
14 665 1
14 676 1
14 694 1
14 738 1
14 744 1
14 747 1
14 778 1
14 785 1
14 794 1
14 804 1
14 870 1
14 873 1
14 945 1
14 954 1
14 976 1
15 16 1
15 18 1
15 19 1
15 37 1
15 41 1
15 44 1
15 49 1
15 59 1
15 71 1
15 75 1
15 83 1
15 85 1
15 87 1
15 96 1
15 109 1
15 112 1
15 114 1
15 135 1
15 137 1
15 139 1
15 141 1
15 163 1
15 165 1
15 175 1
15 180 1
15 185 1
15 188 1
15 198 1
15 210 1
15 214 1
15 227 1
15 243 1
15 246 1
15 251 1
15 253 1
15 273 1
15 274 1
15 286 1
15 317 1
15 345 1
15 347 1
15 353 1
15 359 1
15 370 1
15 375 1
15 388 1
15 400 1
15 406 1
15 413 1
15 422 1
15 429 1
15 459 1
15 495 1
15 512 1
15 527 1
15 629 1
15 642 1
15 652 1
15 668 1
15 701 1
15 732 1
15 734 1
15 738 1
15 742 1
15 754 1
15 769 1
15 785 1
15 802 1
15 813 1
15 822 1
15 829 1
15 857 1
15 928 1
15 986 1
16 17 1
16 23 1
16 41 1
16 51 1
16 64 1
16 70 1
16 86 1
16 126 1
16 127 1
16 130 1
16 143 1
16 148 1
16 237 1
16 249 1
16 313 1
16 330 1
16 377 1
16 378 1
16 432 1
16 438 1
16 439 1
16 447 1
16 457 1
16 501 1
16 519 1
16 551 1
16 643 1
16 662 1
16 703 1
16 733 1
16 776 1
16 787 1
16 790 1
16 825 1
16 906 1
16 981 1
17 19 1
17 37 1
17 39 1
17 40 1
17 48 1
17 52 1
17 56 1
17 62 1
17 77 1
17 81 1
17 84 1
17 94 1
17 101 1
17 119 1
17 122 1
17 142 1
17 153 1
17 163 1
17 176 1
17 178 1
17 186 1
17 191 1
17 211 1
17 214 1
17 221 1
17 228 1
17 248 1
17 253 1
17 348 1
17 383 1
17 426 1
17 428 1
17 435 1
17 448 1
17 449 1
17 450 1
17 472 1
17 582 1
17 631 1
17 644 1
17 649 1
17 683 1
17 689 1
17 692 1
17 706 1
17 744 1
17 753 1
17 764 1
17 770 1
17 787 1
17 788 1
17 824 1
17 841 1
17 845 1
17 871 1
17 901 1
17 946 1
18 19 1
18 24 1
18 25 1
18 27 1
18 29 1
18 34 1
18 36 1
18 57 1
18 89 1
18 98 1
18 128 1
18 129 1
18 147 1
18 149 1
18 179 1
18 188 1
18 191 1
18 259 1
18 262 1
18 271 1
18 281 1
18 293 1
18 299 1
18 321 1
18 338 1
18 341 1
18 383 1
18 446 1
18 506 1
18 510 1
18 526 1
18 537 1
18 604 1
18 668 1
18 736 1
18 748 1
18 843 1
18 861 1
18 890 1
18 938 1
18 943 1
18 967 1
19 25 1
19 32 1
19 41 1
19 51 1
19 52 1
19 57 1
19 66 1
19 74 1
19 80 1
19 95 1
19 99 1
19 111 1
19 117 1
19 174 1
19 183 1
19 201 1
19 259 1
19 281 1
19 352 1
19 367 1
19 390 1
19 406 1
19 436 1
19 466 1
19 474 1
19 475 1
19 479 1
19 491 1
19 510 1
19 620 1
19 674 1
19 690 1
19 714 1
19 718 1
19 725 1
19 749 1
19 793 1
19 824 1
19 852 1
19 879 1
19 940 1
19 942 1
19 984 1
19 998 1
19 999 1
20 30 1
20 49 1
20 67 1
20 102 1
20 205 1
20 208 1
20 311 1
20 314 1
20 389 1
20 390 1
20 404 1
20 420 1
20 551 1
20 677 1
20 840 1
20 872 1
20 910 1
20 921 1
20 957 1
20 980 1
21 23 1
21 30 1
21 33 1
21 60 1
21 65 1
21 69 1
21 72 1
21 103 1
21 109 1
21 115 1
21 132 1
21 142 1
21 145 1
21 213 1
21 269 1
21 282 1
21 336 1
21 365 1
21 378 1
21 393 1
21 411 1
21 448 1
21 700 1
21 854 1
21 964 1
22 55 1
22 111 1
22 330 1
22 335 1
22 345 1
22 515 1
22 578 1
22 606 1
22 630 1
22 631 1
22 667 1
22 702 1
22 705 1
22 719 1
22 755 1
22 833 1
23 34 1
23 46 1
23 50 1
23 70 1
23 152 1
23 197 1
23 280 1
23 287 1
23 358 1
23 418 1
23 464 1
23 524 1
23 553 1
23 688 1
23 721 1
23 772 1
24 26 1
24 68 1
24 73 1
24 79 1
24 134 1
24 252 1
24 369 1
24 436 1
24 454 1
24 569 1
24 639 1
24 667 1
24 708 1
24 820 1
24 944 1
25 31 1
25 84 1
25 138 1
25 168 1
25 172 1
25 199 1
25 275 1
25 405 1
25 410 1
25 449 1
25 502 1
25 504 1
25 552 1
25 672 1
25 707 1
25 790 1
25 832 1
26 28 1
26 216 1
26 305 1
26 417 1
26 457 1
26 477 1
26 912 1
26 975 1
27 35 1
27 36 1
27 38 1
27 50 1
27 54 1
27 58 1
27 102 1
27 123 1
27 163 1
27 211 1
27 340 1
27 355 1
27 389 1
27 413 1
27 603 1
27 618 1
27 688 1
27 713 1
27 802 1
27 919 1
28 56 1
28 75 1
28 93 1
28 106 1
28 144 1
28 193 1
28 201 1
28 228 1
28 232 1
28 317 1
28 318 1
28 366 1
28 499 1
28 612 1
28 664 1
28 714 1
28 728 1
28 752 1
28 793 1
28 838 1
28 852 1
29 40 1
29 46 1
29 47 1
29 61 1
29 72 1
29 131 1
29 141 1
29 160 1
29 166 1
29 174 1
29 187 1
29 196 1
29 209 1
29 249 1
29 258 1
29 260 1
29 275 1
29 321 1
29 325 1
29 377 1
29 409 1
29 424 1
29 432 1
29 519 1
29 576 1
29 712 1
29 902 1
29 909 1
29 955 1
29 978 1
29 991 1
30 37 1
30 79 1
30 113 1
30 159 1
30 173 1
30 176 1
30 206 1
30 244 1
30 245 1
30 253 1
30 304 1
30 356 1
30 408 1
30 447 1
30 455 1
30 457 1
30 459 1
30 478 1
30 481 1
30 498 1
30 525 1
30 528 1
30 574 1
30 576 1
30 693 1
30 713 1
30 743 1
30 786 1
30 811 1
30 827 1
30 853 1
30 887 1
30 899 1
30 900 1
30 911 1
30 917 1
30 950 1
30 960 1
30 963 1
30 998 1
31 35 1
31 49 1
31 53 1
31 58 1
31 93 1
31 94 1
31 103 1
31 122 1
31 124 1
31 156 1
31 208 1
31 270 1
31 315 1
31 354 1
31 409 1
31 419 1
31 510 1
31 550 1
31 556 1
31 577 1
31 605 1
31 625 1
31 704 1
31 814 1
31 827 1
31 887 1
31 981 1
32 83 1
32 364 1
32 422 1
33 39 1
33 41 1
33 42 1
33 52 1
33 55 1
33 92 1
33 95 1
33 120 1
33 123 1
33 135 1
33 161 1
33 175 1
33 177 1
33 187 1
33 204 1
33 207 1
33 230 1
33 250 1
33 254 1
33 270 1
33 284 1
33 314 1
33 318 1
33 325 1
33 328 1
33 347 1
33 351 1
33 355 1
33 392 1
33 419 1
33 424 1
33 436 1
33 454 1
33 470 1
33 472 1
33 476 1
33 521 1
33 546 1
33 567 1
33 592 1
33 636 1
33 639 1
33 646 1
33 649 1
33 651 1
33 682 1
33 703 1
33 760 1
33 810 1
33 844 1
33 847 1
33 867 1
33 896 1
33 898 1
33 954 1
33 958 1
33 965 1
33 987 1
33 995 1
34 48 1
34 75 1
34 78 1
34 81 1
34 121 1
34 173 1
34 217 1
34 220 1
34 550 1
34 553 1
34 565 1
34 627 1
34 767 1
34 805 1
34 902 1
35 376 1
35 498 1
35 776 1
35 816 1
35 995 1
36 169 1
36 181 1
36 197 1
36 299 1
36 345 1
36 451 1
