2000 7984 
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 10 1
1 12 1
1 16 1
1 17 1
1 19 1
1 20 1
1 24 1
1 25 1
1 26 1
1 32 1
1 36 1
1 69 1
1 70 1
1 71 1
1 98 1
1 106 1
1 107 1
1 116 1
1 129 1
1 138 1
1 141 1
1 168 1
1 177 1
1 190 1
1 202 1
1 221 1
1 229 1
1 232 1
1 244 1
1 265 1
1 283 1
1 287 1
1 294 1
1 302 1
1 305 1
1 336 1
1 346 1
1 385 1
1 389 1
1 411 1
1 445 1
1 460 1
1 468 1
1 481 1
1 483 1
1 570 1
1 686 1
1 688 1
1 744 1
1 748 1
1 750 1
1 783 1
1 792 1
1 795 1
1 830 1
1 836 1
1 849 1
1 861 1
1 891 1
1 944 1
1 947 1
1 952 1
1 960 1
1 1027 1
1 1045 1
1 1062 1
1 1070 1
1 1096 1
1 1113 1
1 1114 1
1 1117 1
1 1175 1
1 1236 1
1 1258 1
1 1292 1
1 1346 1
1 1412 1
1 1446 1
1 1457 1
1 1477 1
1 1557 1
1 1595 1
1 1615 1
1 1632 1
1 1685 1
1 1728 1
1 1737 1
1 1748 1
1 1751 1
1 1802 1
1 1805 1
1 1889 1
1 1903 1
2 7 1
2 17 1
2 25 1
2 48 1
2 55 1
2 79 1
2 97 1
2 117 1
2 119 1
2 166 1
2 179 1
2 185 1
2 243 1
2 246 1
2 273 1
2 316 1
2 383 1
2 386 1
2 408 1
2 420 1
2 441 1
2 470 1
2 481 1
2 594 1
2 595 1
2 628 1
2 741 1
2 803 1
2 825 1
2 840 1
2 890 1
2 977 1
2 985 1
2 1007 1
2 1019 1
2 1377 1
2 1401 1
2 1406 1
2 1481 1
2 1751 1
2 1816 1
2 1940 1
3 6 1
3 7 1
3 8 1
3 9 1
3 12 1
3 13 1
3 16 1
3 20 1
3 21 1
3 26 1
3 29 1
3 32 1
3 45 1
3 55 1
3 60 1
3 63 1
3 68 1
3 72 1
3 86 1
3 87 1
3 103 1
3 182 1
3 219 1
3 221 1
3 247 1
3 258 1
3 260 1
3 275 1
3 288 1
3 311 1
3 459 1
3 513 1
3 540 1
3 548 1
3 584 1
3 601 1
3 602 1
3 634 1
3 667 1
3 754 1
3 791 1
3 813 1
3 1034 1
3 1252 1
3 1258 1
3 1339 1
3 1425 1
3 1464 1
3 1480 1
3 1518 1
3 1554 1
3 1661 1
3 1686 1
3 1724 1
3 1809 1
3 1879 1
3 1967 1
4 6 1
4 13 1
4 17 1
4 42 1
4 89 1
4 95 1
4 117 1
4 122 1
4 157 1
4 299 1
4 359 1
4 392 1
4 457 1
4 518 1
4 861 1
4 1168 1
4 1244 1
4 1292 1
4 1375 1
4 1436 1
4 1452 1
4 1548 1
4 1683 1
4 1733 1
4 1905 1
4 1914 1
4 1957 1
5 6 1
5 7 1
5 8 1
5 10 1
5 11 1
5 15 1
5 16 1
5 18 1
5 19 1
5 24 1
5 29 1
5 33 1
5 45 1
5 52 1
5 70 1
5 80 1
5 115 1
5 127 1
5 131 1
5 140 1
5 141 1
5 150 1
5 160 1
5 162 1
5 168 1
5 171 1
5 172 1
5 179 1
5 193 1
5 196 1
5 204 1
5 208 1
5 210 1
5 265 1
5 323 1
5 333 1
5 352 1
5 362 1
5 363 1
5 378 1
5 397 1
5 423 1
5 434 1
5 447 1
5 490 1
5 501 1
5 506 1
5 523 1
5 530 1
5 597 1
5 612 1
5 618 1
5 662 1
5 676 1
5 685 1
5 691 1
5 692 1
5 712 1
5 738 1
5 749 1
5 753 1
5 756 1
5 799 1
5 900 1
5 921 1
5 970 1
5 1009 1
5 1040 1
5 1089 1
5 1091 1
5 1092 1
5 1107 1
5 1125 1
5 1136 1
5 1143 1
5 1158 1
5 1161 1
5 1174 1
5 1247 1
5 1270 1
5 1284 1
5 1419 1
5 1438 1
5 1442 1
5 1503 1
5 1513 1
5 1545 1
5 1561 1
5 1599 1
5 1615 1
5 1701 1
5 1709 1
5 1727 1
5 1908 1
5 1954 1
5 1962 1
6 8 1
6 9 1
6 11 1
6 12 1
6 13 1
6 15 1
6 16 1
6 18 1
6 21 1
6 23 1
6 24 1
6 27 1
6 28 1
6 46 1
6 50 1
6 52 1
6 58 1
6 60 1
6 71 1
6 73 1
6 74 1
6 78 1
6 83 1
6 99 1
6 102 1
6 105 1
6 110 1
6 120 1
6 128 1
6 140 1
6 149 1
6 159 1
6 161 1
6 164 1
6 172 1
6 176 1
6 232 1
6 246 1
6 264 1
6 268 1
6 277 1
6 279 1
6 289 1
6 291 1
6 305 1
6 313 1
6 317 1
6 321 1
6 328 1
6 331 1
6 351 1
6 364 1
6 370 1
6 382 1
6 388 1
6 407 1
6 421 1
6 437 1
6 445 1
6 473 1
6 488 1
6 493 1
6 563 1
6 567 1
6 600 1
6 620 1
6 621 1
6 622 1
6 649 1
6 655 1
6 665 1
6 669 1
6 678 1
6 710 1
6 712 1
6 724 1
6 734 1
6 775 1
6 799 1
6 803 1
6 832 1
6 835 1
6 837 1
6 852 1
6 869 1
6 870 1
6 890 1
6 906 1
6 928 1
6 940 1
6 985 1
6 1012 1
6 1013 1
6 1019 1
6 1022 1
6 1027 1
6 1044 1
6 1047 1
6 1068 1
6 1095 1
6 1133 1
6 1137 1
6 1141 1
6 1179 1
6 1183 1
6 1222 1
6 1241 1
6 1245 1
6 1264 1
6 1275 1
6 1350 1
6 1365 1
6 1369 1
6 1374 1
6 1382 1
6 1383 1
6 1417 1
6 1433 1
6 1445 1
6 1457 1
6 1462 1
6 1463 1
6 1598 1
6 1611 1
6 1628 1
6 1643 1
6 1652 1
6 1654 1
6 1656 1
6 1679 1
6 1709 1
6 1711 1
6 1719 1
6 1721 1
6 1726 1
6 1756 1
6 1782 1
6 1805 1
6 1836 1
6 1860 1
6 1864 1
6 1889 1
6 1894 1
6 1969 1
7 8 1
7 9 1
7 10 1
7 11 1
7 14 1
7 15 1
7 20 1
7 27 1
7 28 1
7 31 1
7 34 1
7 36 1
7 37 1
7 38 1
7 46 1
7 47 1
7 53 1
7 60 1
7 64 1
7 66 1
7 71 1
7 101 1
7 106 1
7 109 1
7 113 1
7 118 1
7 124 1
7 127 1
7 138 1
7 145 1
7 146 1
7 147 1
7 187 1
7 189 1
7 191 1
7 192 1
7 201 1
7 231 1
7 240 1
7 254 1
7 274 1
7 282 1
7 284 1
7 309 1
7 311 1
7 414 1
7 418 1
7 447 1
7 450 1
7 453 1
7 469 1
7 478 1
7 495 1
7 497 1
7 519 1
7 614 1
7 626 1
7 629 1
7 687 1
7 688 1
7 723 1
7 724 1
7 725 1
7 819 1
7 834 1
7 879 1
7 924 1
7 927 1
7 934 1
7 945 1
7 959 1
7 1007 1
7 1059 1
7 1089 1
7 1124 1
7 1140 1
7 1166 1
7 1191 1
7 1199 1
7 1210 1
7 1225 1
7 1274 1
7 1565 1
7 1659 1
7 1715 1
7 1781 1
7 1787 1
7 1794 1
7 1835 1
7 1876 1
7 1884 1
7 1907 1
7 1927 1
7 1997 1
8 9 1
8 11 1
8 14 1
8 15 1
8 21 1
8 23 1
8 24 1
8 26 1
8 29 1
8 32 1
8 34 1
8 35 1
8 40 1
8 52 1
8 53 1
8 61 1
8 68 1
8 70 1
8 72 1
8 76 1
8 79 1
8 88 1
8 89 1
8 112 1
8 128 1
8 142 1
8 143 1
8 146 1
8 154 1
8 209 1
8 230 1
8 241 1
8 252 1
8 256 1
8 292 1
8 304 1
8 318 1
8 335 1
8 366 1
8 368 1
8 391 1
8 395 1
8 399 1
8 405 1
8 448 1
8 474 1
8 478 1
8 482 1
8 486 1
8 549 1
8 551 1
8 583 1
8 605 1
8 617 1
8 645 1
8 646 1
8 652 1
8 672 1
8 682 1
8 684 1
8 690 1
8 727 1
8 730 1
8 740 1
8 778 1
8 779 1
8 781 1
8 829 1
8 845 1
8 856 1
8 892 1
8 913 1
8 990 1
8 993 1
8 1005 1
8 1048 1
8 1051 1
8 1052 1
8 1067 1
8 1138 1
8 1158 1
8 1171 1
8 1179 1
8 1206 1
8 1259 1
8 1272 1
8 1370 1
8 1390 1
8 1394 1
8 1407 1
8 1409 1
8 1415 1
8 1427 1
8 1454 1
8 1479 1
8 1508 1
8 1510 1
8 1528 1
8 1543 1
8 1554 1
8 1640 1
8 1680 1
8 1694 1
8 1722 1
8 1731 1
8 1770 1
8 1779 1
8 1781 1
8 1895 1
8 1905 1
8 1915 1
8 1921 1
8 1926 1
8 1945 1
8 1946 1
8 1954 1
8 1996 1
9 10 1
9 29 1
9 36 1
9 42 1
9 65 1
9 151 1
9 175 1
9 279 1
9 281 1
9 293 1
9 314 1
9 343 1
9 446 1
9 510 1
9 642 1
9 677 1
9 751 1
9 800 1
9 858 1
9 888 1
9 1020 1
9 1049 1
9 1150 1
9 1257 1
9 1270 1
9 1334 1
9 1502 1
9 1582 1
9 1625 1
9 1646 1
9 1692 1
9 1711 1
9 1981 1
10 12 1
10 13 1
10 23 1
10 25 1
10 26 1
10 32 1
10 36 1
10 37 1
10 43 1
10 46 1
10 51 1
10 58 1
10 62 1
10 68 1
10 89 1
10 107 1
10 111 1
10 114 1
10 126 1
10 137 1
10 146 1
10 150 1
10 159 1
10 160 1
10 188 1
10 225 1
10 249 1
10 264 1
10 266 1
10 295 1
10 307 1
10 327 1
10 339 1
10 340 1
10 375 1
10 391 1
10 427 1
10 463 1
10 480 1
10 523 1
10 532 1
10 534 1
10 548 1
10 585 1
10 595 1
10 598 1
10 633 1
10 661 1
10 691 1
10 752 1
10 768 1
10 805 1
10 845 1
10 850 1
10 902 1
10 933 1
10 972 1
10 1042 1
10 1072 1
10 1099 1
10 1131 1
10 1144 1
10 1153 1
10 1179 1
10 1186 1
10 1227 1
10 1267 1
10 1286 1
10 1308 1
10 1317 1
10 1366 1
10 1378 1
10 1429 1
10 1435 1
10 1552 1
10 1580 1
10 1584 1
10 1668 1
10 1678 1
10 1744 1
10 1753 1
10 1756 1
10 1837 1
10 1960 1
10 1990 1
11 45 1
11 69 1
11 104 1
11 106 1
11 201 1
11 229 1
11 241 1
11 370 1
11 458 1
11 491 1
11 513 1
11 1012 1
11 1042 1
11 1085 1
11 1095 1
11 1319 1
11 1503 1
11 1922 1
12 14 1
12 17 1
12 18 1
12 27 1
12 30 1
12 31 1
12 34 1
12 43 1
12 44 1
12 55 1
12 60 1
12 61 1
12 63 1
12 65 1
12 82 1
12 99 1
12 119 1
12 154 1
12 217 1
12 225 1
12 231 1
12 239 1
12 245 1
12 255 1
12 259 1
12 263 1
12 273 1
12 279 1
12 328 1
12 329 1
12 330 1
12 379 1
12 393 1
12 396 1
12 484 1
12 519 1
12 521 1
12 536 1
12 614 1
12 622 1
12 659 1
12 682 1
12 702 1
12 730 1
12 750 1
12 825 1
12 845 1
12 889 1
12 932 1
12 959 1
12 966 1
12 967 1
12 980 1
12 983 1
12 1005 1
12 1028 1
12 1090 1
12 1122 1
12 1147 1
12 1206 1
12 1249 1
12 1328 1
12 1350 1
12 1362 1
12 1379 1
12 1394 1
12 1435 1
12 1514 1
12 1519 1
12 1545 1
12 1572 1
12 1589 1
12 1861 1
12 1890 1
12 1894 1
12 1951 1
13 14 1
13 30 1
13 35 1
13 38 1
13 47 1
13 56 1
13 59 1
13 68 1
13 87 1
13 88 1
13 115 1
13 154 1
13 196 1
13 329 1
13 406 1
13 426 1
13 462 1
13 536 1
13 568 1
13 610 1
13 807 1
13 894 1
13 956 1
13 1054 1
13 1056 1
13 1080 1
13 1094 1
13 1114 1
13 1126 1
13 1195 1
13 1264 1
13 1276 1
13 1395 1
13 1526 1
13 1635 1
14 18 1
14 20 1
14 30 1
14 42 1
14 56 1
14 75 1
14 83 1
14 109 1
14 112 1
14 130 1
14 148 1
14 162 1
14 174 1
14 225 1
14 269 1
14 297 1
14 298 1
14 380 1
14 431 1
14 445 1
14 455 1
14 478 1
14 507 1
14 511 1
14 516 1
14 665 1
14 731 1
14 740 1
14 777 1
14 869 1
14 878 1
14 890 1
14 931 1
14 936 1
14 981 1
14 992 1
14 994 1
14 1036 1
14 1038 1
14 1316 1
14 1332 1
14 1346 1
14 1579 1
14 1653 1
14 1695 1
14 1966 1
14 1970 1
15 22 1
15 28 1
15 37 1
15 39 1
15 76 1
15 84 1
15 85 1
15 154 1
15 202 1
15 294 1
15 314 1
15 338 1
15 390 1
15 454 1
15 464 1
15 467 1
15 558 1
15 570 1
15 634 1
15 810 1
15 822 1
15 860 1
15 880 1
15 926 1
15 938 1
15 1008 1
15 1104 1
15 1200 1
15 1242 1
15 1248 1
15 1326 1
15 1337 1
15 1338 1
15 1367 1
15 1438 1
15 1546 1
15 1652 1
15 1769 1
15 1960 1
15 1998 1
16 21 1
16 22 1
16 30 1
16 34 1
16 43 1
16 44 1
16 48 1
16 52 1
16 55 1
16 69 1
16 121 1
16 140 1
16 235 1
16 280 1
16 343 1
16 344 1
16 358 1
16 373 1
16 462 1
16 518 1
16 524 1
16 550 1
16 562 1
16 585 1
16 640 1
16 664 1
16 689 1
16 694 1
16 765 1
16 787 1
16 882 1
16 883 1
16 894 1
16 920 1
16 925 1
16 926 1
16 959 1
16 1103 1
16 1118 1
16 1135 1
16 1138 1
16 1289 1
16 1455 1
16 1495 1
16 1515 1
16 1559 1
16 1671 1
16 1708 1
16 1711 1
16 1783 1
16 1798 1
16 1855 1
16 1864 1
17 19 1
17 22 1
17 23 1
17 35 1
17 47 1
17 53 1
17 59 1
17 67 1
17 72 1
17 75 1
17 92 1
17 94 1
17 104 1
17 108 1
17 134 1
17 143 1
17 149 1
17 151 1
17 156 1
17 158 1
17 174 1
17 194 1
17 199 1
17 205 1
17 209 1
17 231 1
17 237 1
17 296 1
17 299 1
17 343 1
17 345 1
17 346 1
17 360 1
17 368 1
17 380 1
17 410 1
17 416 1
17 440 1
17 451 1
17 562 1
17 564 1
17 572 1
17 579 1
17 635 1
17 666 1
17 674 1
17 676 1
17 697 1
17 715 1
17 721 1
17 736 1
17 774 1
17 876 1
17 889 1
17 895 1
17 906 1
17 914 1
17 932 1
17 936 1
17 942 1
17 1007 1
17 1019 1
17 1083 1
17 1088 1
17 1148 1
17 1164 1
17 1206 1
17 1212 1
17 1235 1
17 1261 1
17 1273 1
17 1278 1
17 1282 1
17 1292 1
17 1313 1
17 1346 1
17 1377 1
17 1385 1
17 1389 1
17 1401 1
17 1504 1
17 1563 1
17 1607 1
17 1879 1
18 19 1
18 22 1
18 41 1
18 97 1
18 120 1
18 139 1
18 176 1
18 203 1
18 214 1
18 285 1
18 347 1
18 376 1
18 378 1
18 515 1
18 526 1
18 558 1
18 600 1
18 636 1
18 667 1
18 682 1
18 709 1
18 714 1
18 723 1
18 790 1
18 892 1
18 912 1
18 930 1
18 1096 1
18 1101 1
18 1168 1
18 1207 1
18 1226 1
18 1232 1
18 1254 1
18 1448 1
18 1458 1
18 1460 1
18 1475 1
18 1598 1
18 1731 1
18 1833 1
18 1878 1
18 1938 1
18 1996 1
19 33 1
19 39 1
19 54 1
19 90 1
19 110 1
19 114 1
19 139 1
19 156 1
19 184 1
19 241 1
19 310 1
19 342 1
19 365 1
19 377 1
19 430 1
19 604 1
19 684 1
19 781 1
19 846 1
19 873 1
19 999 1
19 1071 1
19 1135 1
19 1196 1
19 1521 1
19 1629 1
19 1674 1
19 1702 1
19 1757 1
19 1958 1
20 44 1
20 77 1
20 100 1
20 102 1
20 111 1
20 146 1
20 177 1
20 178 1
20 215 1
20 223 1
20 244 1
20 297 1
20 334 1
20 369 1
20 384 1
20 405 1
20 466 1
20 484 1
20 571 1
20 725 1
20 733 1
20 817 1
20 886 1
20 1011 1
20 1027 1
20 1032 1
20 1132 1
20 1144 1
20 1171 1
20 1345 1
20 1385 1
20 1845 1
20 1923 1
21 25 1
21 31 1
21 35 1
21 38 1
21 41 1
21 49 1
