// obj: 285.0
// running_duration: 0.4914860725402832
// num_nodes: 100
// alg_name: eeco
1 1
2 2
3 2
4 2
5 2
6 1
7 2
8 1
9 2
10 1
11 1
12 2
13 2
14 1
15 1
16 2
17 2
18 2
19 2
20 2
21 2
22 2
23 2
24 2
25 2
26 2
27 2
28 1
29 2
30 2
31 1
32 1
33 1
34 1
35 1
36 1
37 2
38 1
39 1
40 1
41 1
42 1
43 1
44 2
45 1
46 1
47 1
48 1
49 1
50 1
51 1
52 1
53 2
54 1
55 1
56 1
57 1
58 1
59 1
60 1
61 1
62 2
63 2
64 1
65 2
66 2
67 2
68 1
69 1
70 1
71 1
72 2
73 2
74 2
75 1
76 2
77 1
78 2
79 2
80 1
81 1
82 1
83 2
84 1
85 1
86 2
87 2
88 2
89 2
90 2
91 2
92 2
93 1
94 1
95 1
96 2
97 1
98 1
99 1
100 1
