// obj: 285.0
// running_duration: 0.49254751205444336
// num_nodes: 100
// alg_name: eeco
1 2
2 2
3 1
4 2
5 1
6 2
7 1
8 1
9 1
10 1
11 2
12 2
13 1
14 1
15 1
16 1
17 2
18 2
19 1
20 1
21 2
22 1
23 1
24 1
25 2
26 1
27 1
28 2
29 1
30 1
31 1
32 1
33 1
34 1
35 2
36 1
37 2
38 2
39 2
40 1
41 2
42 2
43 2
44 1
45 2
46 2
47 2
48 1
49 1
50 1
51 1
52 1
53 1
54 2
55 1
56 2
57 2
58 2
59 2
60 2
61 2
62 2
63 1
64 1
65 1
66 1
67 2
68 2
69 2
70 2
71 2
72 2
73 2
74 2
75 2
76 2
77 2
78 2
79 2
80 2
81 1
82 2
83 2
84 2
85 1
86 1
87 1
88 1
89 1
90 1
91 1
92 1
93 1
94 2
95 2
96 1
97 2
98 2
99 1
100 1
