// obj: 285.0
// running_duration: 1.7290067672729492
// num_nodes: 100
// alg_name: eco-dqn
1 2
2 1
3 1
4 1
5 1
6 2
7 1
8 2
9 1
10 2
11 2
12 1
13 1
14 2
15 2
16 1
17 1
18 2
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 2
29 1
30 1
31 2
32 2
33 2
34 2
35 2
36 2
37 1
38 2
39 2
40 2
41 2
42 2
43 2
44 1
45 2
46 2
47 2
48 2
49 2
50 2
51 2
52 2
53 1
54 2
55 2
56 2
57 2
58 2
59 2
60 2
61 2
62 1
63 1
64 2
65 1
66 1
67 1
68 2
69 2
70 2
71 2
72 1
73 1
74 1
75 2
76 1
77 2
78 1
79 1
80 2
81 2
82 2
83 1
84 2
85 2
86 1
87 1
88 1
89 1
90 1
91 1
92 2
93 2
94 1
95 2
96 1
97 2
98 2
99 2
100 2
